airport,start,end,regulation_start,regulation_end,reason,duration_hours
EGLL,2018-09-27 02:53:00,2018-09-27 12:00:00,2018-09-27 08:53:00,2018-09-27 10:00:00,P - Special Event,1.1166666666666667
EGLL,2018-10-04 23:40:00,2018-10-05 14:00:00,2018-10-05 05:40:00,2018-10-05 12:00:00,W - Weather,6.333333333333333
EGLL,2018-10-07 00:20:00,2018-10-07 10:10:00,2018-10-07 06:20:00,2018-10-07 08:10:00,P - Special Event,1.8333333333333333
EGLL,2018-10-08 00:15:00,2018-10-08 10:00:00,2018-10-08 06:15:00,2018-10-08 08:00:00,P - Special Event,1.75
EGLL,2018-10-08 11:39:00,2018-10-08 20:45:00,2018-10-08 17:39:00,2018-10-08 18:45:00,P - Special Event,1.1
EGLL,2018-10-08 23:20:00,2018-10-09 11:33:00,2018-10-09 05:20:00,2018-10-09 09:33:00,W - Weather,4.216666666666667
EGLL,2018-10-09 10:38:00,2018-10-09 19:31:00,2018-10-09 16:38:00,2018-10-09 17:31:00,P - Special Event,0.8833333333333333
EGLL,2018-10-14 23:40:00,2018-10-15 11:00:00,2018-10-15 05:40:00,2018-10-15 09:00:00,W - Weather,3.3333333333333335
EGLL,2018-10-15 23:20:00,2018-10-16 14:28:00,2018-10-16 05:20:00,2018-10-16 12:28:00,W - Weather,7.133333333333334
EGLL,2018-10-21 23:40:00,2018-10-22 18:00:00,2018-10-22 05:40:00,2018-10-22 16:00:00,G - Aerodrome Capacity,10.333333333333334
EGLL,2018-10-26 00:00:00,2018-10-26 09:30:00,2018-10-26 06:00:00,2018-10-26 07:30:00,P - Special Event,1.5
EGLL,2018-10-26 23:43:00,2018-10-27 09:15:00,2018-10-27 05:43:00,2018-10-27 07:15:00,P - Special Event,1.5333333333333334
EGLL,2018-11-05 09:20:00,2018-11-05 21:20:00,2018-11-05 15:20:00,2018-11-05 19:20:00,G - Aerodrome Capacity,4.0
EGLL,2018-11-08 01:15:00,2018-11-08 11:00:00,2018-11-08 07:15:00,2018-11-08 09:00:00,P - Special Event,1.75
EGLL,2018-11-24 00:40:00,2018-11-24 12:00:00,2018-11-24 06:40:00,2018-11-24 10:00:00,G - Aerodrome Capacity,3.3333333333333335
EGLL,2018-11-26 23:40:00,2018-11-27 23:00:00,2018-11-27 05:40:00,2018-11-27 21:00:00,W - Weather,15.333333333333334
EGLL,2019-01-08 00:40:00,2019-01-08 13:50:00,2019-01-08 06:40:00,2019-01-08 11:50:00,W - Weather,5.166666666666667
EGLL,2019-02-18 11:40:00,2019-02-18 21:20:00,2019-02-18 17:40:00,2019-02-18 19:20:00,W - Weather,1.6666666666666667
EGLL,2019-03-29 00:20:00,2019-03-29 11:40:00,2019-03-29 06:20:00,2019-03-29 09:40:00,W - Weather,3.3333333333333335
EGLL,2019-03-30 23:20:00,2019-03-31 09:20:00,2019-03-31 05:20:00,2019-03-31 07:20:00,C - ATC Capacity,2.0
EGLL,2019-04-02 08:40:00,2019-04-02 21:00:00,2019-04-02 14:40:00,2019-04-02 19:00:00,W - Weather,4.333333333333333
EGLL,2019-04-09 23:40:00,2019-04-10 13:00:00,2019-04-10 05:40:00,2019-04-10 11:00:00,C - ATC Capacity,5.333333333333333
EGLL,2019-04-09 23:40:00,2019-04-10 13:00:00,2019-04-10 05:40:00,2019-04-10 11:00:00,C - ATC Capacity,5.333333333333333
EGLL,2019-04-17 23:20:00,2019-04-18 08:40:00,2019-04-18 05:20:00,2019-04-18 06:40:00,C - ATC Capacity,1.3333333333333333
EGLL,2019-05-19 23:40:00,2019-05-20 09:20:00,2019-05-20 05:40:00,2019-05-20 07:20:00,C - ATC Capacity,1.6666666666666667
EGLL,2019-05-26 23:40:00,2019-05-27 09:25:00,2019-05-27 05:40:00,2019-05-27 07:25:00,C - ATC Capacity,1.75
EGLL,2019-06-04 04:00:00,2019-06-04 21:00:00,2019-06-04 10:00:00,2019-06-04 19:00:00,C - ATC Capacity,9.0
EGLL,2019-06-06 03:00:00,2019-06-06 14:40:00,2019-06-06 09:00:00,2019-06-06 12:40:00,C - ATC Capacity,3.6666666666666665
EGLL,2019-06-07 23:20:00,2019-06-08 14:40:00,2019-06-08 05:20:00,2019-06-08 12:40:00,P - Special Event,7.333333333333333
EGLL,2019-06-12 07:40:00,2019-06-12 19:35:00,2019-06-12 13:40:00,2019-06-12 17:35:00,W - Weather,3.9166666666666665
EGLL,2019-06-17 07:40:00,2019-06-17 20:19:00,2019-06-17 13:40:00,2019-06-17 18:19:00,C - ATC Capacity,4.65
EGLL,2019-06-18 23:40:00,2019-06-19 13:00:00,2019-06-19 05:40:00,2019-06-19 11:00:00,W - Weather,5.333333333333333
EGLL,2019-06-19 23:40:00,2019-06-20 10:00:00,2019-06-20 05:40:00,2019-06-20 08:00:00,W - Weather,2.3333333333333335
EGLL,2019-06-24 07:40:00,2019-06-24 18:20:00,2019-06-24 13:40:00,2019-06-24 16:20:00,C - ATC Capacity,2.6666666666666665
EGLL,2019-06-25 00:00:00,2019-06-25 08:30:00,2019-06-25 06:00:00,2019-06-25 06:30:00,W - Weather,0.5
EGLL,2019-07-05 02:00:00,2019-07-05 12:40:00,2019-07-05 08:00:00,2019-07-05 10:40:00,C - ATC Capacity,2.6666666666666665
EGLL,2019-08-22 23:20:00,2019-08-23 08:20:00,2019-08-23 05:20:00,2019-08-23 06:20:00,W - Weather,1.0
EGLL,2019-09-01 00:00:00,2019-09-01 12:00:00,2019-09-01 06:00:00,2019-09-01 10:00:00,C - ATC Capacity,4.0
EGLL,2019-10-06 01:00:00,2019-10-06 11:30:00,2019-10-06 07:00:00,2019-10-06 09:30:00,W - Weather,2.5
EGLL,2019-10-08 23:20:00,2019-10-09 11:20:00,2019-10-09 05:20:00,2019-10-09 09:20:00,W - Weather,4.0
EGLL,2019-10-12 22:40:00,2019-10-13 11:40:00,2019-10-13 04:40:00,2019-10-13 09:40:00,W - Weather,5.0
EGLL,2019-11-04 01:20:00,2019-11-04 12:30:00,2019-11-04 07:20:00,2019-11-04 10:30:00,W - Weather,3.1666666666666665
EGLL,2019-11-09 00:40:00,2019-11-09 15:25:00,2019-11-09 06:40:00,2019-11-09 13:25:00,W - Weather,6.75
